ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12961670,JG126085,10/22/2022 04:33:00 PM,030XX N CLARK ST,0860,THEFT,RETAIL THEFT,OTHER (SPECIFY),False,False,1934,19.0,44.0,6.0,06,,,2022,01/24/2023 03:42:46 PM,,,
12928060,JF516774,12/19/2022 10:08:00 PM,0000X E 101ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,511,5.0,9.0,49.0,14,1178406.0,1838018.0,2022,01/03/2023 03:40:27 PM,41.710825444,-87.622245252,"(41.710825444, -87.622245252)"
12782343,JF342882,08/03/2022 12:00:00 AM,021XX N DAYTON ST,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,False,1812,18.0,43.0,7.0,06,1170271.0,1914431.0,2022,01/03/2023 03:40:27 PM,41.920690971,-87.64981131,"(41.920690971, -87.64981131)"
12907538,JF492028,11/29/2022 12:00:00 AM,0000X W HUBBARD ST,0810,THEFT,OVER $500,BAR OR TAVERN,False,False,1831,18.0,42.0,8.0,06,1176050.0,1903312.0,2022,01/03/2023 03:40:27 PM,41.890051565,-87.62891376,"(41.890051565, -87.62891376)"
12772276,JF331156,07/25/2022 04:00:00 PM,112XX S HOMEWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2212,22.0,19.0,75.0,14,1165396.0,1829833.0,2022,01/03/2023 03:40:27 PM,41.688649382,-87.670121462,"(41.688649382, -87.670121462)"
12792237,JF354664,08/12/2022 07:00:00 AM,029XX W CERMAK RD,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESTAURANT,False,False,1022,10.0,24.0,30.0,11,1156955.0,1889242.0,2022,01/03/2023 03:40:27 PM,41.851850802,-87.699420757,"(41.851850802, -87.699420757)"
12589744,JF109694,01/11/2022 03:00:00 PM,068XX N SHERIDAN RD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,2431,24.0,49.0,1.0,26,1166977.0,1945471.0,2022,01/03/2023 03:40:27 PM,42.005937282,-87.661019227,"(42.005937282, -87.661019227)"
12737972,JF258259,05/27/2022 09:38:00 PM,090XX S BISHOP ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,False,False,2222,22.0,21.0,73.0,15,,,2022,01/29/2023 03:42:15 PM,,,
12607817,JF131382,02/01/2022 09:01:00 PM,017XX N KEELER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2534,25.0,26.0,20.0,14,1148117.0,1911203.0,2022,01/03/2023 03:40:27 PM,41.912288727,-87.731293362,"(41.912288727, -87.731293362)"
12743990,JF296754,06/27/2022 11:51:00 PM,029XX S DEARBORN ST,0460,BATTERY,SIMPLE,STREET,False,False,133,1.0,3.0,35.0,08B,1176406.0,1885545.0,2022,01/03/2023 03:40:27 PM,41.841289747,-87.628142362,"(41.841289747, -87.628142362)"
12854532,JF428746,10/06/2022 06:00:00 PM,0000X W PARKING LOT A ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,AIRPORT PARKING LOT,False,False,1654,16.0,41.0,76.0,07,1101086.0,1935036.0,2022,01/03/2023 03:40:27 PM,41.978466127,-87.903638571,"(41.978466127, -87.903638571)"
12702679,JF246939,05/17/2022 12:00:00 AM,096XX S OGLESBY AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,431,4.0,10.0,51.0,04B,1193773.0,1841643.0,2022,01/03/2023 03:40:27 PM,41.720410779,-87.565850617,"(41.720410779, -87.565850617)"
12795012,JF357968,08/10/2022 12:00:00 PM,087XX S MANISTEE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,False,423,4.0,7.0,46.0,26,1196148.0,1847610.0,2022,01/03/2023 03:40:27 PM,41.736726311,-87.55695463,"(41.736726311, -87.55695463)"
12806752,JF371761,08/26/2022 06:00:00 PM,041XX S PRAIRIE AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),False,False,213,2.0,3.0,38.0,15,1178727.0,1877604.0,2022,01/03/2023 03:40:27 PM,41.819446427,-87.619867204,"(41.819446427, -87.619867204)"
