ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
14103839,JK140990,02/07/2026 12:00:00 AM,001XX N WESTERN AVE,3960,INTIMIDATION,INTIMIDATION,GAS STATION,False,True,1223,12.0,27.0,28.0,08A,1160392.0,1900695.0,2026,02/14/2026 03:41:20 PM,41.883208624,-87.686489297,"(41.883208624, -87.686489297)"
14106862,JK144803,02/07/2026 12:00:00 AM,062XX S WOOD ST,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,714,7.0,15.0,67.0,06,1165419.0,1863340.0,2026,02/14/2026 03:41:20 PM,41.780597165,-87.669090541,"(41.780597165, -87.669090541)"
14103919,JK141175,02/07/2026 12:00:00 AM,047XX W FULTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1113,11.0,28.0,25.0,14,1144769.0,1901372.0,2026,02/14/2026 03:41:20 PM,41.885375199,-87.743841292,"(41.885375199, -87.743841292)"
14104038,JK141314,02/07/2026 12:00:00 AM,015XX W POLK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1231,12.0,28.0,28.0,07,1166326.0,1896529.0,2026,02/14/2026 03:41:20 PM,41.871651985,-87.664818507,"(41.871651985, -87.664818507)"
14104578,JK141890,02/07/2026 12:00:00 AM,0000X S STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,112,1.0,34.0,32.0,06,1176389.0,1900278.0,2026,02/14/2026 03:41:20 PM,41.88171846,-87.627760426,"(41.88171846, -87.627760426)"
