feature_group,importance_abs,importance_share,model
temporal,0.06023445830585694,0.659161962496907,hist_gradient_boosting
historical,0.018387507305515728,0.20121946377247374,hist_gradient_boosting
spatial,0.012758395715437952,0.13961857373061942,hist_gradient_boosting
missing_indicator,0.0,0.0,hist_gradient_boosting
