model,split,params,accuracy,precision,recall,f1,auroc,auprc
hist_gradient_boosting,test,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_depth"": 8, ""max_iter"": 120, ""min_samples_leaf"": 200}",0.7097180861623983,0.7244105807935595,0.8717307541086734,0.7912720109064175,0.7380963865756356,0.8063249642619379
random_forest,test,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""max_samples"": 0.12, ""min_samples_leaf"": 10, ""n_estimators"": 96}",0.6890808020647211,0.7575230280487221,0.7462766375717543,0.7518577789045047,0.7370493496261117,0.805644524652551
decision_tree,test,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 50}",0.6835318642048839,0.7590111434266854,0.7305653849178265,0.7445166563824758,0.7334066416721765,0.8003090638603567
logistic_regression,test,"{""C"": 0.5, ""max_iter"": 200}",0.6649295215405996,0.7589859350581698,0.6874262797829677,0.7214359397565504,0.7176875079622993,0.7867443715425465
hist_gradient_boosting,val,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_depth"": 8, ""max_iter"": 120, ""min_samples_leaf"": 200}",0.7087452848918007,0.723477723437416,0.8600795438209785,0.7858868172364725,0.7412368847075961,0.8010650233725453
random_forest,val,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""max_samples"": 0.12, ""min_samples_leaf"": 10, ""n_estimators"": 96}",0.6886043279729998,0.7565667351129364,0.7356365901576501,0.7459548760143179,0.7402152861376037,0.8000776565787932
decision_tree,val,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 50}",0.6800575739527497,0.760148675961769,0.7088504480329676,0.7336038813445851,0.7361935043941457,0.7950234777289509
logistic_regression,val,"{""C"": 0.5, ""max_iter"": 200}",0.6601747071669645,0.7600117299902861,0.6623380772118134,0.7078212481223543,0.7185864268261443,0.7791660154102968
