model,trial,split,params,accuracy,precision,recall,f1,auroc,auprc
logistic_regression,1,val,"{""C"": 0.5, ""max_iter"": 200}",0.6601747071669645,0.7600117299902861,0.6623380772118134,0.7078212481223543,0.7185864268261443,0.7791660154102968
logistic_regression,2,val,"{""C"": 1.0, ""max_iter"": 300}",0.6601151479054993,0.7599472169785386,0.6623061319021835,0.7077750277374755,0.7185851308516864,0.7791638128011018
decision_tree,1,val,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 50}",0.6800575739527497,0.760148675961769,0.7088504480329676,0.7336038813445851,0.7361935043941457,0.7950234777289509
decision_tree,2,val,"{""ccp_alpha"": 0.0005, ""max_depth"": 14, ""min_samples_leaf"": 25}",0.6512705975779234,0.7746830887351541,0.618860510805501,0.6880599532946786,0.7234481619103161,0.7714507834716311
random_forest,1,val,"{""max_depth"": 14, ""max_features"": ""sqrt"", ""max_samples"": 0.08, ""min_samples_leaf"": 20, ""n_estimators"": 64}",0.6874032162001191,0.7600541570554609,0.7262925870909004,0.7427899340863983,0.7401753237138426,0.7999720700398184
random_forest,2,val,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""max_samples"": 0.12, ""min_samples_leaf"": 10, ""n_estimators"": 96}",0.6886043279729998,0.7565667351129364,0.7356365901576501,0.7459548760143179,0.7402152861376037,0.8000776565787932
hist_gradient_boosting,1,val,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_depth"": 8, ""max_iter"": 120, ""min_samples_leaf"": 200}",0.7087452848918007,0.723477723437416,0.8600795438209785,0.7858868172364725,0.7412368847075961,0.8010650233725453
hist_gradient_boosting,2,val,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""max_iter"": 180, ""min_samples_leaf"": 150}",0.7088544768711534,0.7230391828308691,0.8615330554091396,0.7862338381703424,0.7412265734589774,0.8009083077929006
