model,split,district_correlation,top_5_overlap,top_10_overlap,hourly_correlation,day_of_week_correlation
decision_tree,test,0.9928995724445102,0.8,1.0,0.9882017725680383,0.4948526226667347
hist_gradient_boosting,test,0.9995617439517568,1.0,1.0,0.990043390912027,0.7311144663511395
logistic_regression,test,0.9942064326805033,1.0,1.0,0.8541772426643438,0.7218069525699558
random_forest,test,0.9935860048920345,0.8,1.0,0.9910573716941223,0.5931676243169705
decision_tree,val,0.9916305715256708,0.8,1.0,0.9874343145591936,0.8433791536905942
hist_gradient_boosting,val,0.999615427407601,1.0,1.0,0.99037952995075,0.9924144074765753
logistic_regression,val,0.9934152638778339,1.0,1.0,0.8483494828863724,0.9415259314232132
random_forest,val,0.9922865865216657,1.0,1.0,0.9912101991821926,0.972025144765553
